id_leitura;data_leitura;id_sensor;tipo_equipamento;temp_ambiente;temp_processo;rotacao_rpm;pressao_hidraulica_bar;vibracao_acumulada;status_falha;alerta_fadiga_material;alerta_sobreaquecimento;alerta_pressao_critica;alerta_sobrecarga_eixo;alerta_falha_eletronica;observacoes_operador
1;01/01/2024 00:00;M14860;M;2981;3086;15510;428;0;0;0;0;0;0;0;
2;01/01/2024 01:00;L47181;L;2982;3087;14080;463;3;0;0;0;0;0;0;
3;01/01/2024 02:00;L47182;L;2981;3085;14980;494;5;0;0;;0;0;0;
4;01/01/2024 03:00;L47183;L;2982;3086;14330;395;7;0;0;0;0;0;0;
5;01/01/2024 04:00;L47184;L;2982;3087;14080;400;9;0;0;0;0;0;0;
6;01/01/2024 05:00;M14865;M;2981;3086;14250;419;11;0;0;0;0;0;0;
7;01/01/2024 06:00;L47186;L;2981;3086;15580;424;14;0;0;0;0;0;0;
8;01/01/2024 07:00;L47187;L;2981;3086;15270;402;16;0;0;0;0;0;0;
9;01/01/2024 08:00;M14868;M;2983;3087;16670;286;18;0;0;0;0;0;0;
10;01/01/2024 09:00;M14869;M;2985;3090;17410;280;21;0;0;0;0;0;0;
11;01/01/2024 10:00;H29424;H;2984;3089;17820;;24;0;0;0;0;0;0;
12;01/01/2024 11:00;H29425;H;2986;3091;14230;443;29;0;0;0;0;0;0;Verificar vibração
13;01/01/2024 12:00;M14872;M;2986;3091;13390;511;34;0;0;0;0;0;0;
14;01/01/2024 13:00;M14873;M;2986;3092;17420;300;37;0;0;0;0;0;0;
15;01/01/2024 14:00;L47194;L;2986;3092;20350;196;40;0;0;0;0;0;0;
16;01/01/2024 15:00;L47195;L;2986;3092;15420;484;42;0;0;0;0;0;0;
17;01/01/2024 16:00;M14876;M;2986;3092;13110;466;44;0;0;0;0;0;0;
18;01/01/2024 17:00;M14877;M;2987;3092;14100;456;47;0;0;0;0;0;0;
19;01/01/2024 18:00;H29432;H;2988;3092;13060;545;50;0;0;0;0;0;0;
20;01/01/2024 19:00;M14879;M;298,9;3093;16320;325;55;0;0;0;0;0;0;
21;01/01/2024 20:00;H29434;H;2989;3093;13750;427;58;0;0;0;0;0;0;
22;01/01/2024 21:00;L47201;L;2988;3093;14500;448;63;0;0;0;0;0;0;
23;01/01/2024 22:00;M14882;M;2989;3093;15810;307;65;0;0;0;0;0;0;
24;01/01/2024 23:00;L47203;L;2990;3094;17580;257;68;0;0;0;0;0;0;
25;02/01/2024 00:00;M14884;M;2990;3094;15610;373;70;0;0;0;0;0;0;
26;02/01/2024 01:00;L47205;L;2990;3095;18610;233;73;0;0;0;0;0;0;
27;02/01/2024 02:00;L47206;L;2991;3095;15120;390;75;0;0;0;0;0;0;
28;02/01/2024 03:00;H29441;H;2991;3094;18110;246;77;0;0;0;0;0;0;Verificar vibração
29;02/01/2024 04:00;L47208;L;2991;3094;14390;442;82;0;0;0;0;0;0;
30;02/01/2024 05:00;L47209;L;2990;3094;16930;;84;0;0;0;0;0;0;
31;02/01/2024 06:00;M14890;M;2991;3095;13390;482;86;0;0;0;0;0;0;
32;02/01/2024 07:00;L47211;L;2990;3094;17980;255;89;0;0;0;0;0;0;
33;02/01/2024 08:00;L47212;L;2990;3094;14190;483;91;0;0;0;0;0;0;
34;02/01/2024 09:00;L47213;L;2989;3093;16650;325;93;0;0;0;0;0;0;
35;02/01/2024 10:00;M14894;M;2988;3091;15590;347;95;0;0;0;0;0;0;
36;02/01/2024 11:00;M14895;M;2988;3092;14520;486;98;0;0;0;0;0;0;
37;02/01/2024 12:00;M14896;M;2989;3092;15810;367;101;0;0;0;0;0;0;
38;02/01/2024 13:00;L47217;L;2988;3091;14390;392;104;0;0;0;0;0;0;
39;02/01/2024 14:00;H29452;H;2989;3092;13790;507;106;0;0;0;0;0;0;
40;02/01/2024 15:00;L47219;L;2988;3091;13500;525;111;0;0;0;0;0;0;Verificar vibração
41;02/01/2024 16:00;L47220;low;2988;3091;13620;454;113;0;0;0;0;0;0;
42;02/01/2024 17:00;L47221;L;2988;3091;13680;508;115;0;0;0;0;0;0;
43;02/01/2024 18:00;M14902;M;2988;3091;13680;;117;0;0;0;0;0;0;
44;02/01/2024 19:00;H29457;H;2988;3092;13720;485;120;0;0;0;0;0;0;
45;02/01/2024 20:00;M14904;M;2988;3091;14720;475;125;0;0;0;0;0;0;
46;02/01/2024 21:00;L47225;L;2988;3091;14890;491;128;0;0;0;0;0;0;
47;02/01/2024 22:00;M14906;M;2987;3090;18430;258;130;0;0;0;0;0;0;
48;02/01/2024 23:00;L47227;L;2988;3091;14180;463;133;0;0;0;0;0;0;
49;03/01/2024 00:00;H29462;H;2988;3092;14250;539;135;0;0;0;0;0;0;
50;03/01/2024 01:00;M14909;M;2989;3092;14120;441;140;0;0;0;0;0;0;
51;03/01/2024 02:00;L47230;L;2989;3091;28610;46;143;1;0;0;10;0;0;Verificar vibração
52;03/01/2024 03:00;L47231;L;2989;3091;13830;549;145;0;0;0;0;0;0;
53;03/01/2024 04:00;H29466;H;2988;3090;14970;438;147;0;0;0;0;0;0;
54;03/01/2024 05:00;L47233;L;2987;3090;15650;351;152;0;0;0;0;0;0;
55;03/01/2024 06:00;L47234;L;2987;3090;16910;301;154;0;0;0;0;0;0;
56;03/01/2024 07:00;L47235;L;2988;3091;15120;407;156;0;0;0;0;0;0;
57;03/01/2024 08:00;L47236;L;2988;3091;14770;424;158;0;0;0;0;0;0;
58;03/01/2024 09:00;L47237;L;2988;3091;15130;403;160;0;0;;0;0;0;
59;03/01/2024 10:00;M14918;M;2988;3090;16610;;162;0;0;0;0;0;0;
60;03/01/2024 11:00;L47239;L;2988;3091;13780;544;165;0;0;0;0;0;0;
61;03/01/2024 12:00;L47240;L;2988;3091;13930;526;167;0;0;0;0;0;0;
62;03/01/2024 13:00;M14921;M;2988;3090;15920;382;169;0;0;0;0;0;0;
63;03/01/2024 14:00;L47242;L;2988;3090;18290;229;172;0;0;0;0;0;0;
64;03/01/2024 15:00;M14923;M;2989;3090;18120;259;174;0;0;0;0;0;0;
65;03/01/2024 16:00;L47244;L;2990;3091;15230;386;177;0;0;0;0;0;0;
66;03/01/2024 17:00;L47245;L;2990;3091;13940;451;179;0;0;0;0;0;0;
67;03/01/2024 18:00;M14926;M;2989;3089;16790;287;181;0;0;0;0;0;0;
68;03/01/2024 19:00;H29481;H;2988;3089;14660;441;184;0;0;0;0;0;0;
69;03/01/2024 20:00;L47248;L;2988;3089;15270;324;189;0;0;0;0;0;0;
70;03/01/2024 21:00;L47249;L;2989;3090;14100;657;191;1;0;0;10;1;0;
71;03/01/2024 22:00;M14930;M;2989;3090;19240;226;193;0;0;0;0;0;0;
72;03/01/2024 23:00;L47251;L;2989;3091;14520;455;196;0;0;0;0;0;0;
73;04/01/2024 00:00;L47252;L;2989;3091;13690;;198;0;0;0;0;0;0;
74;04/01/2024 01:00;L47253;L;2990;3091;15920;350;200;0;0;0;0;0;0;
75;04/01/2024 02:00;L47254;L;2989;3090;16010;323;202;0;0;0;0;0;0;
76;04/01/2024 03:00;L47255;L;2988;3089;13790;467;204;0;0;0;0;0;0;
77;04/01/2024 04:00;L47256;L;2988;3089;14610;479;206;0;0;0;0;0;0;
78;04/01/2024 05:00;L47257;low;2988;3089;14550;413;208;1;10;0;0;0;0;
79;04/01/2024 06:00;L47258;L;2988;3089;13980;515;0;0;0;0;0;0;0;
80;04/01/2024 07:00;L47259;L;2988;3089;14020;379;2;0;0;0;0;0;0;
81;04/01/2024 08:00;H29494;H;2988;3088;14450;499;4;0;0;0;0;0;0;
82;04/01/2024 09:00;L47261;L;2989;3089;14500;475;9;0;0;0;0;0;0;
83;04/01/2024 10:00;L47262;L;2989;3089;14530;408;11;0;0;0;0;0;0;
84;04/01/2024 11:00;L47263;L;2990;3090;14690;401;13;0;0;0;0;0;0;
85;04/01/2024 12:00;L47264;L;2989;3089;14220;476;15;0;0;0;0;0;0;
